# bin_center_x bin_center_y count mean_dx mean_dy mean_dz uu vv ww uv uw vw
0.500000 4.500000 3084 -0.999619 0.501955 0.699618 0.010132 0.002557 0.004983 -0.000066 -0.000075 -0.000116
0.500000 5.500000 3133 -0.998976 0.499619 0.702135 0.009997 0.002423 0.005059 0.000239 -0.000016 -0.000019
0.500000 6.500000 3086 -1.000599 0.499684 0.699368 0.010237 0.002379 0.004983 -0.000132 -0.000071 0.000020
0.500000 7.500000 3184 -0.997340 0.499992 0.700468 0.009791 0.002505 0.004969 0.000031 0.000349 -0.000131
0.500000 8.500000 3133 -0.998835 0.499079 0.699457 0.009913 0.002428 0.004765 0.000044 -0.000092 0.000002
0.500000 9.500000 3021 -1.001606 0.498752 0.697340 0.009936 0.002485 0.004912 0.000072 0.000058 0.000034
0.500000 10.500000 3121 -0.995417 0.499941 0.700298 0.009896 0.002520 0.004956 0.000030 -0.000021 -0.000040
0.500000 11.500000 3019 -0.998082 0.499698 0.699484 0.010156 0.002444 0.004851 -0.000109 -0.000080 -0.000074
0.500000 12.500000 3149 -0.996784 0.499655 0.697095 0.010153 0.002560 0.004817 0.000133 -0.000047 -0.000025
0.500000 13.500000 3227 -1.000020 0.500698 0.699609 0.010255 0.002520 0.004922 -0.000007 -0.000021 -0.000037
0.500000 14.500000 3036 -1.000079 0.499297 0.698496 0.009485 0.002454 0.004903 -0.000025 -0.000084 0.000007
0.500000 15.500000 3085 -0.999559 0.499720 0.699967 0.010190 0.002516 0.004893 -0.000086 0.000130 -0.000124
0.500000 16.500000 3114 -0.998758 0.498635 0.698360 0.010328 0.002449 0.005150 -0.000026 0.000056 0.000033
0.500000 17.500000 3104 -1.000421 0.500262 0.698771 0.009623 0.002452 0.005093 -0.000176 0.000147 0.000042
0.500000 18.500000 3071 -1.000804 0.499170 0.701017 0.010285 0.002562 0.004932 0.000077 0.000045 0.000007
0.500000 19.500000 3104 -1.000024 0.499562 0.701312 0.010065 0.002536 0.004788 0.000067 -0.000091 0.000022
0.500000 20.500000 3177 -1.000806 0.501409 0.699262 0.009896 0.002597 0.004995 0.000233 -0.000163 -0.000002
0.500000 21.500000 3147 -1.000472 0.498432 0.698149 0.010128 0.002440 0.004915 0.000108 0.000025 0.000003
0.500000 22.500000 3015 -0.999530 0.500705 0.699306 0.010244 0.002438 0.004900 0.000075 -0.000061 0.000005
0.500000 23.500000 3106 -0.997565 0.498723 0.699319 0.009959 0.002545 0.004848 -0.000031 -0.000111 0.000030
0.500000 24.500000 3076 -0.998002 0.499343 0.697745 0.010505 0.002540 0.004810 -0.000013 0.000106 -0.000027
0.500000 25.500000 3047 -0.999823 0.499377 0.701370 0.009846 0.002494 0.005127 -0.000062 -0.000045 0.000041
0.500000 26.500000 3225 -1.002441 0.499202 0.701199 0.010037 0.002617 0.004748 0.000131 -0.000034 0.000068
0.500000 27.500000 3235 -0.999600 0.499269 0.700878 0.009915 0.002370 0.004720 -0.000109 0.000124 -0.000020
0.500000 28.500000 3167 -0.997060 0.499017 0.700444 0.010065 0.002514 0.004972 0.000072 -0.000134 0.000013
0.500000 29.500000 3065 -0.999686 0.499879 0.699040 0.009655 0.002530 0.004729 -0.000142 -0.000200 -0.000048
0.500000 30.500000 3171 -0.999294 0.499947 0.698752 0.010100 0.002468 0.005018 0.000075 0.000215 0.000127
0.500000 31.500000 3067 -1.002457 0.499109 0.700175 0.009820 0.002611 0.005078 -0.000037 -0.000071 -0.000035
0.500000 32.500000 2951 -0.999353 0.500109 0.697939 0.009819 0.002556 0.004853 -0.000105 -0.000167 0.000046
0.500000 33.500000 3212 -1.000894 0.500252 0.700006 0.009810 0.002485 0.005050 -0.000026 0.000044 -0.000010
0.500000 34.500000 3197 -0.996348 0.501022 0.699475 0.009760 0.002514 0.005138 -0.000028 0.000141 -0.000011
0.500000 35.500000 3081 -0.999113 0.499607 0.698242 0.009561 0.002499 0.004748 0.000113 -0.000097 -0.000066
0.500000 36.500000 3142 -1.000439 0.499450 0.699255 0.010386 0.002509 0.004947 -0.000099 -0.000070 0.000038
0.500000 37.500000 3241 -1.002376 0.499412 0.700039 0.009791 0.002513 0.004756 -0.000094 -0.000086 -0.000064
0.500000 38.500000 3113 -1.001084 0.499834 0.701006 0.010329 0.002479 0.004856 -0.000065 -0.000218 0.000045
0.500000 39.500000 3042 -0.999141 0.498402 0.700004 0.009612 0.002527 0.004925 0.000013 0.000081 0.000045
0.500000 40.500000 3102 -0.996764 0.501149 0.700534 0.010069 0.002416 0.004861 0.000181 0.000196 -0.000066
0.500000 41.500000 3088 -0.998638 0.500774 0.700183 0.009487 0.002457 0.004724 0.000047 0.000098 -0.000064
0.500000 42.500000 3072 -1.000471 0.499492 0.701102 0.009514 0.002459 0.004811 0.000024 0.000010 -0.000023
0.500000 43.500000 3167 -1.001117 0.500519 0.701007 0.010076 0.002528 0.005005 -0.000033 -0.000004 0.000065
0.500000 44.500000 3029 -1.001591 0.498717 0.698927 0.010053 0.002557 0.005105 -0.000070 -0.000154 0.000105
0.500000 45.500000 3120 -1.003747 0.499908 0.699514 0.010221 0.002409 0.004852 0.000198 -0.000101 0.000053
0.500000 46.500000 3112 -0.998856 0.501031 0.698725 0.010252 0.002546 0.004790 -0.000094 -0.000018 0.000028
0.500000 47.500000 3122 -1.001734 0.499607 0.700914 0.010023 0.002459 0.004847 0.000089 -0.000077 0.000003
0.500000 48.500000 3101 -1.000685 0.498987 0.702066 0.009480 0.002498 0.005025 0.000100 0.000015 0.000074
0.500000 49.500000 3098 -0.999632 0.499573 0.699598 0.009875 0.002540 0.004942 -0.000026 0.000072 -0.000107
0.500000 50.500000 2012 0.194696 0.500906 0.700106 0.965453 0.002469 0.005215 -0.003634 -0.001424 0.000059
0.500000 51.500000 1589 0.985694 0.500999 0.701921 0.010155 0.002581 0.004529 0.000124 -0.000114 -0.000086
0.500000 52.500000 1442 0.989772 0.500627 0.700463 0.009598 0.002458 0.004972 0.000128 -0.000053 -0.000075
0.500000 53.500000 1582 0.992638 0.500727 0.701908 0.009572 0.002534 0.004956 -0.000133 0.000034 0.000016
0.500000 54.500000 1582 0.992618 0.500245 0.700794 0.009411 0.002482 0.004698 0.000070 0.000096 0.000111
0.500000 55.500000 1557 0.989161 0.500696 0.702095 0.010262 0.002603 0.004744 -0.000031 -0.000290 -0.000230
0.500000 56.500000 1540 0.992889 0.498746 0.700731 0.009576 0.002647 0.004778 -0.000044 -0.000002 0.000017
0.500000 57.500000 1513 0.988948 0.497919 0.700269 0.009306 0.002432 0.004687 0.000411 0.000037 -0.000127
0.500000 58.500000 1548 0.992463 0.500917 0.699206 0.009796 0.002574 0.004913 -0.000122 0.000220 -0.000101
0.500000 59.500000 1664 0.995486 0.499476 0.701059 0.010279 0.002461 0.005000 -0.000074 -0.000254 0.000024
0.500000 60.500000 1562 0.987713 0.500436 0.701997 0.009512 0.002533 0.004917 0.000194 0.000033 -0.000024
0.500000 61.500000 1567 0.994271 0.499052 0.696796 0.009932 0.002451 0.004926 0.000098 0.000095 -0.000029
0.500000 62.500000 1557 0.990839 0.500383 0.699220 0.009844 0.002480 0.005139 -0.000055 -0.000039 -0.000072
0.500000 63.500000 1562 0.993072 0.499769 0.696851 0.010007 0.002337 0.005102 0.000075 0.000231 0.000005
0.500000 64.500000 1591 0.988137 0.497406 0.702244 0.010165 0.002533 0.004812 -0.000164 0.000032 -0.000111
0.500000 65.500000 1587 0.990043 0.500488 0.699162 0.009913 0.002590 0.005001 -0.000038 0.000035 0.000051
0.500000 66.500000 1605 0.988484 0.501474 0.698368 0.009510 0.002405 0.004643 0.000078 0.000036 0.000135
0.500000 67.500000 1563 0.989090 0.500929 0.699392 0.009731 0.002547 0.004723 0.000175 0.000033 -0.000031
0.500000 68.500000 1521 0.987200 0.500992 0.699903 0.010101 0.002436 0.004950 -0.000115 -0.000172 -0.000002
0.500000 69.500000 1574 0.987441 0.498963 0.699785 0.009879 0.002315 0.004942 -0.000120 -0.000232 0.000062
0.500000 70.500000 1589 0.986799 0.500039 0.700171 0.009987 0.002520 0.004948 -0.000150 0.000217 -0.000112
0.500000 71.500000 1532 0.991386 0.498985 0.697925 0.010125 0.002452 0.004855 -0.000053 -0.000113 0.000029
0.500000 72.500000 1590 0.988534 0.501755 0.697313 0.009933 0.002385 0.004983 0.000159 -0.000361 0.000060
0.500000 73.500000 1609 0.986899 0.496310 0.698893 0.009890 0.002525 0.005198 -0.000046 0.000061 0.000019
0.500000 74.500000 1502 0.986575 0.500676 0.702624 0.010013 0.002566 0.004883 0.000026 0.000047 0.000091
0.500000 75.500000 1561 0.993254 0.503397 0.703449 0.009900 0.002497 0.004870 0.000163 0.000115 0.000027
0.500000 76.500000 1524 0.987929 0.500932 0.700800 0.009824 0.002574 0.004959 0.000182 0.000117 0.000033
0.500000 77.500000 1513 0.986105 0.499562 0.700198 0.010625 0.002417 0.004879 -0.000171 0.000228 0.000058
0.500000 78.500000 1542 0.989491 0.500841 0.697983 0.009251 0.002536 0.004641 0.000003 -0.000223 0.000018
0.500000 79.500000 1554 0.991705 0.499685 0.698349 0.009432 0.002580 0.004750 0.000381 0.000099 0.000033
0.500000 80.500000 1580 0.990836 0.500516 0.700947 0.009789 0.002438 0.004789 0.000034 0.000133 -0.000002
0.500000 81.500000 1570 0.993530 0.499723 0.698107 0.009919 0.002443 0.004800 0.000259 0.000118 0.000002
0.500000 82.500000 1568 0.989110 0.501933 0.699993 0.009728 0.002512 0.004677 0.000246 0.000259 -0.000017
0.500000 83.500000 1587 0.991448 0.499488 0.698208 0.009967 0.002495 0.004744 -0.000014 -0.000016 0.000080
0.500000 84.500000 1510 0.988784 0.499457 0.699086 0.010205 0.002607 0.005098 -0.000109 -0.000090 -0.000087
0.500000 85.500000 1554 0.985302 0.501818 0.700556 0.009828 0.002328 0.004702 -0.000136 -0.000177 0.000005
0.500000 86.500000 1550 0.990078 0.498250 0.700421 0.010384 0.002282 0.004997 -0.000137 -0.000008 -0.000124
0.500000 87.500000 1598 0.989220 0.500637 0.700745 0.009781 0.002400 0.005144 0.000220 -0.000107 -0.000032
0.500000 88.500000 1571 0.989675 0.500223 0.699885 0.009822 0.002347 0.004633 0.000117 -0.000098 -0.000142
0.500000 89.500000 1600 0.988723 0.499128 0.699394 0.009801 0.002388 0.004951 -0.000114 -0.000211 -0.000009
0.500000 90.500000 1482 0.987000 0.500490 0.702232 0.009473 0.002447 0.004579 0.000050 0.000135 -0.000031
0.500000 91.500000 1578 0.988271 0.499335 0.699143 0.010147 0.002409 0.005067 0.000177 0.000175 0.000003
0.500000 92.500000 1534 0.993120 0.500293 0.703111 0.010121 0.002506 0.004800 -0.000077 -0.000003 -0.000030
0.500000 93.500000 1556 0.984608 0.501024 0.699880 0.009354 0.002469 0.004705 -0.000068 0.000111 -0.000197
0.500000 94.500000 1563 0.988759 0.498195 0.701481 0.009397 0.002576 0.005066 0.000300 -0.000138 0.000012
0.500000 95.500000 1639 0.988857 0.501632 0.700598 0.009175 0.002529 0.005097 0.000073 -0.000104 0.000079
0.500000 96.500000 1587 0.988168 0.499158 0.701141 0.010088 0.002540 0.004680 -0.000126 0.000124 0.000175
0.500000 97.500000 1614 0.990731 0.497868 0.697493 0.009936 0.002601 0.004786 -0.000061 0.000113 -0.000041
0.500000 98.500000 1589 0.986778 0.498195 0.697059 0.010203 0.002519 0.005156 0.000097 0.000078 -0.000146
0.500000 99.500000 1586 0.991596 0.497005 0.700661 0.009782 0.002437 0.005229 -0.000080 0.000110 -0.000011
0.500000 100.500000 397 0.990161 0.498098 0.696307 0.010204 0.002431 0.005391 -0.000249 -0.000302 0.000011
1.500000 0.500000 2294 -0.998681 0.498136 0.698010 0.010106 0.002609 0.005099 0.000155 -0.000054 -0.000135
1.500000 1.500000 3085 -1.002277 0.498974 0.701176 0.009776 0.002600 0.004861 0.000021 0.000005 -0.000087
1.500000 2.500000 3072 -0.997358 0.500250 0.700824 0.009620 0.002461 0.004730 0.000057 -0.000006 0.000007
1.500000 3.500000 3109 -1.001330 0.500418 0.698735 0.010085 0.002550 0.005112 0.000067 0.000091 0.000044
1.500000 4.500000 3046 -0.998911 0.501599 0.698580 0.010067 0.002452 0.004751 0.000004 -0.000107 0.000065
1.500000 5.500000 3164 -0.997808 0.501340 0.701835 0.009711 0.002445 0.004934 0.000010 0.000022 0.000009
1.500000 6.500000 3045 -1.000462 0.498722 0.697922 0.009637 0.002546 0.004768 -0.000034 0.000087 0.000106
1.500000 7.500000 3101 -1.001840 0.501254 0.700204 0.010075 0.002496 0.004871 0.000007 -0.000025 0.000061
1.500000 8.500000 3086 -0.997946 0.500689 0.703261 0.010165 0.002461 0.005101 0.000134 0.000033 0.000031
1.500000 9.500000 3092 -1.003380 0.500721 0.698520 0.009811 0.002422 0.004711 0.000172 -0.000120 -0.000024
1.500000 10.500000 3103 -0.994622 0.500027 0.697613 0.009739 0.002504 0.004805 -0.000022 0.000085 -0.000000
1.500000 11.500000 3107 -0.998809 0.499714 0.698214 0.009384 0.002485 0.004639 -0.000131 -0.000262 0.000144
1.500000 12.500000 3081 -1.001128 0.500521 0.699104 0.010462 0.002546 0.005161 -0.000063 -0.000164 0.000079
1.500000 13.500000 3118 -0.998119 0.501170 0.703240 0.009751 0.002563 0.004615 0.000153 0.000057 0.000103
1.500000 14.500000 3114 -0.999313 0.498881 0.700149 0.009744 0.002393 0.004992 0.000037 0.000095 -0.000013
1.500000 15.500000 3092 -1.002379 0.500024 0.699432 0.010299 0.002513 0.005108 -0.000070 0.000020 -0.000116
1.500000 16.500000 3036 -1.001291 0.500472 0.700062 0.010191 0.002468 0.004776 0.000037 0.000025 0.000073
1.500000 17.500000 3183 -1.000198 0.499461 0.702390 0.009615 0.002595 0.004992 -0.000093 0.000147 -0.000098
1.500000 18.500000 3153 -0.999996 0.499778 0.699754 0.009686 0.002426 0.004702 0.000048 -0.000110 0.000070
1.500000 19.500000 3274 -0.997943 0.500061 0.697776 0.010132 0.002486 0.004791 0.000131 -0.000017 0.000021
1.500000 20.500000 3119 -1.000612 0.498659 0.699139 0.010339 0.002675 0.005059 0.000054 -0.000129 0.000019
1.500000 21.500000 3064 -0.998399 0.500528 0.703118 0.010114 0.002505 0.004888 -0.000003 0.000135 -0.000027
1.500000 22.500000 3110 -1.002854 0.498306 0.699997 0.010235 0.002647 0.004795 -0.000026 -0.000100 -0.000061
1.500000 23.500000 3184 -0.999595 0.501661 0.700119 0.010066 0.002559 0.004946 -0.000148 -0.000046 0.000076
1.500000 24.500000 3098 -1.002681 0.500235 0.699858 0.009469 0.002506 0.004881 0.000089 -0.000132 0.000100
1.500000 25.500000 2995 -1.000443 0.498982 0.699300 0.010378 0.002553 0.004922 0.000063 -0.000057 0.000024
1.500000 26.500000 3128 -0.999362 0.500505 0.698871 0.010198 0.002482 0.005081 -0.000035 0.000078 -0.000021
1.500000 27.500000 3200 -1.004150 0.501824 0.701200 0.009980 0.002402 0.004853 0.000033 0.000035 0.000058
1.500000 28.500000 3051 -1.000278 0.499624 0.702653 0.009702 0.002550 0.004826 -0.000023 0.000109 0.000053
1.500000 29.500000 3098 -1.001150 0.500623 0.700644 0.009755 0.002435 0.004722 -0.000135 0.000002 -0.000023
1.500000 30.500000 3068 -0.997134 0.500259 0.702691 0.010069 0.002508 0.004739 0.000131 0.000095 0.000037
1.500000 31.500000 3107 -0.996322 0.499843 0.697905 0.009950 0.002506 0.004721 -0.000180 -0.000008 -0.000027
1.500000 32.500000 3177 -0.999940 0.499426 0.702234 0.010150 0.002461 0.004845 -0.000072 0.000182 0.000019
1.500000 33.500000 3138 -0.996875 0.498907 0.700423 0.009532 0.002433 0.004918 -0.000142 -0.000159 0.000024
1.500000 34.500000 3112 -1.000647 0.499223 0.700195 0.009849 0.002380 0.004787 -0.000257 0.000090 -0.000096
1.500000 35.500000 3133 -0.996767 0.499518 0.698437 0.010299 0.002508 0.004793 0.000041 0.000067 -0.000001
1.500000 36.500000 3149 -1.002424 0.499359 0.699587 0.010139 0.002523 0.004840 -0.000018 -0.000049 -0.000082
1.500000 37.500000 3091 -1.003164 0.500775 0.700843 0.010094 0.002477 0.004861 -0.000083 -0.000107 -0.000053
1.500000 38.500000 3195 -1.000055 0.500805 0.699964 0.009659 0.002533 0.005023 -0.000011 -0.000236 0.000054
1.500000 39.500000 3151 -1.001965 0.499754 0.702156 0.010313 0.002412 0.004896 0.000126 -0.000032 0.000090
1.500000 40.500000 3136 -0.997963 0.502248 0.699343 0.009784 0.002470 0.004705 0.000051 0.000042 0.000049
1.500000 41.500000 3141 -0.999648 0.499061 0.698775 0.009790 0.002418 0.004765 0.000164 0.000090 0.000123
1.500000 42.500000 3165 -1.000765 0.499305 0.699136 0.010093 0.002445 0.004928 -0.000130 -0.000309 0.000020
1.500000 43.500000 3179 -0.998145 0.499964 0.699220 0.010118 0.002445 0.004951 0.000024 -0.000110 0.000078
1.500000 44.500000 3203 -1.000225 0.500134 0.700243 0.010136 0.002436 0.004803 0.000049 0.000231 0.000035
1.500000 45.500000 3112 -1.003590 0.500738 0.698685 0.010373 0.002502 0.005052 -0.000002 -0.000108 0.000082
1.500000 46.500000 3100 -0.998716 0.501385 0.698110 0.009488 0.002567 0.004991 -0.000116 0.000185 -0.000100
1.500000 47.500000 3144 -1.002699 0.499934 0.699579 0.010015 0.002541 0.005235 0.000025 -0.000155 0.000002
1.500000 48.500000 3170 -0.999194 0.500026 0.700298 0.009655 0.002541 0.004830 0.000062 -0.000045 -0.000006
1.500000 49.500000 3067 -0.998901 0.499530 0.698934 0.009990 0.002440 0.004812 0.000120 -0.000118 -0.000105
1.500000 50.500000 3102 0.531864 0.500073 0.699256 0.730481 0.002417 0.004807 -0.002521 -0.002223 -0.000080
1.500000 51.500000 3077 1.001625 0.500226 0.700872 0.009590 0.002485 0.005087 -0.000055 -0.000177 0.000007
1.500000 52.500000 3030 0.999889 0.498724 0.699857 0.010151 0.002454 0.004691 0.000048 -0.000080 0.000011
1.500000 53.500000 3104 1.002111 0.498542 0.700651 0.009903 0.002616 0.004906 0.000002 -0.000269 -0.000014
1.500000 54.500000 3072 0.999549 0.499488 0.701187 0.009915 0.002402 0.004856 0.000140 -0.000054 -0.000014
1.500000 55.500000 3191 1.001398 0.499645 0.696954 0.009928 0.002540 0.004807 0.000142 -0.000183 -0.000071
1.500000 56.500000 3132 0.998182 0.500493 0.701002 0.010069 0.002469 0.005126 -0.000073 -0.000021 -0.000055
1.500000 57.500000 3158 0.998374 0.501560 0.701276 0.010435 0.002570 0.004634 0.000053 -0.000101 -0.000073
1.500000 58.500000 3071 1.001381 0.498104 0.701637 0.009907 0.002612 0.005167 -0.000025 0.000129 -0.000086
1.500000 59.500000 3118 0.997277 0.500258 0.699971 0.009615 0.002495 0.005237 0.000119 -0.000163 -0.000063
1.500000 60.500000 3133 1.001401 0.500685 0.699569 0.009882 0.002524 0.005080 0.000006 -0.000044 0.000025
1.500000 61.500000 3078 0.998620 0.499858 0.699674 0.010139 0.002402 0.004913 0.000050 0.000055 -0.000010
1.500000 62.500000 3097 0.998267 0.499918 0.700734 0.009765 0.002493 0.005022 -0.000017 0.000008 0.000028
1.500000 63.500000 3012 0.998205 0.500310 0.699531 0.010461 0.002466 0.004886 -0.000112 -0.000178 -0.000052
1.500000 64.500000 3074 1.001914 0.500115 0.699843 0.010193 0.002566 0.004857 0.000005 0.000134 0.000016
1.500000 65.500000 3067 1.003289 0.499469 0.699687 0.010221 0.002409 0.004840 0.000057 0.000002 0.000017
1.500000 66.500000 3155 0.998538 0.499883 0.701835 0.010105 0.002526 0.004882 -0.000025 -0.000081 -0.000067
1.500000 67.500000 3109 0.998898 0.499239 0.699995 0.010276 0.002488 0.004983 -0.000067 -0.000174 0.000068
1.500000 68.500000 3078 1.001306 0.501241 0.698506 0.009783 0.002531 0.004685 0.000043 -0.000161 0.000040
1.500000 69.500000 3102 0.999879 0.499210 0.701403 0.009624 0.002341 0.004838 0.000075 0.000198 0.000002
1.500000 70.500000 3056 0.999126 0.500344 0.699292 0.010234 0.002509 0.004887 -0.000222 0.000162 -0.000064
1.500000 71.500000 3112 1.001306 0.499869 0.700589 0.010063 0.002531 0.004973 0.000065 -0.000007 -0.000040
1.500000 72.500000 3011 1.002888 0.501852 0.700652 0.010043 0.002471 0.004776 -0.000106 -0.000026 0.000002
1.500000 73.500000 3166 1.001286 0.500397 0.699321 0.009802 0.002388 0.004780 -0.000091 0.000076 -0.000060
1.500000 74.500000 3162 1.002736 0.499787 0.698410 0.010112 0.002335 0.004630 0.000034 -0.000002 -0.000040
1.500000 75.500000 3075 0.997507 0.498888 0.698675 0.010158 0.002582 0.004837 -0.000034 0.000224 0.000009
1.500000 76.500000 3181 1.001515 0.499006 0.698435 0.009631 0.002463 0.004895 -0.000125 0.000151 -0.000055
1.500000 77.500000 3180 0.997812 0.499888 0.699480 0.010310 0.002453 0.005057 -0.000164 0.000112 0.000140
